effect_name,metric,base_cell,comparison_cell,base_luck,comparison_luck,n_base,n_comparison,base_mean,comparison_mean,mean_gain,t_stat,p_value,cohen_d,luck_gain_exceeds_bomb_gain
luck_1_to_6_bombs_off,max_depth,pickaxe_nofood,pickaxe_nofood,1,6,2000,2000,9.028,14.1105,5.0825,19.00016192074426,9.295499941539234e-77,0.6008378758155151,False
bomb_on_at_luck_4,max_depth,pickaxe_nofood,bomb_nofood,4,4,2000,2000,12.373,18.1685,5.795500000000002,19.45413643267652,1.3677597988335416e-80,0.6151938103892073,False
