hypothesis,cell_id,luck_level,metric,n,mean_depth,std_depth,ci_low,ci_high
H1,bomb_nofood,1,max_depth,2000,14.251,7.581341396394463,13.91853787013753,14.583462129862468
H1,bomb_nofood,2,max_depth,2000,14.4925,7.523047379282911,14.162594218951524,14.822405781048476
H1,bomb_nofood,3,max_depth,2000,16.1785,8.646734687752376,15.799317520232897,16.557682479767102
H1,bomb_nofood,4,max_depth,2000,18.1685,9.822899390007672,17.737739547215245,18.59926045278476
H1,bomb_nofood,5,max_depth,2000,19.8965,10.551135056262323,19.433804462381843,20.359195537618156
H1,bomb_nofood,6,max_depth,2000,20.558,11.042219038791538,20.073769114184667,21.042230885815332
H1,pickaxe_nofood,1,max_depth,2000,9.028,6.835245152014965,8.728256189168352,9.327743810831649
H1,pickaxe_nofood,2,max_depth,2000,9.0405,6.609591749991128,8.750651695349253,9.330348304650746
H1,pickaxe_nofood,3,max_depth,2000,10.361,7.4076390002334005,10.036155185539974,10.685844814460028
H1,pickaxe_nofood,4,max_depth,2000,12.373,9.000354114538691,11.978310361058394,12.767689638941604
H1,pickaxe_nofood,5,max_depth,2000,14.0925,9.629242176955112,13.67023193479527,14.514768065204729
H1,pickaxe_nofood,6,max_depth,2000,14.1105,9.817814649515753,13.679962526707309,14.541037473292691
