hypothesis,group,seed,cell_id,luck_level,experiment_id,max_depth,net_profit
H3,experiment_1,10000083,pickaxe_nofood,1,1,14.0,-15.800000000000068
H3,experiment_1,10000084,pickaxe_nofood,1,1,6.0,334.89999999999986
H3,experiment_1,10000085,pickaxe_nofood,1,1,6.0,-398.7000000000001
H3,experiment_1,10000086,pickaxe_nofood,1,1,18.0,904.6999999999998
H3,experiment_1,10000087,pickaxe_nofood,1,1,15.0,292.89999999999986
H3,experiment_1,10000088,pickaxe_nofood,1,1,5.0,-206.20000000000005
H3,experiment_1,10000089,pickaxe_nofood,1,1,17.0,-273.4000000000001
H3,experiment_1,10000090,pickaxe_nofood,1,1,4.0,593.1999999999998
H3,experiment_1,10000091,pickaxe_nofood,1,1,6.0,-265.70000000000005
H3,experiment_1,10000092,pickaxe_nofood,1,1,3.0,-426.0
H3,experiment_1,10000093,pickaxe_nofood,1,1,10.0,-321.70000000000005
H3,experiment_1,10000094,pickaxe_nofood,1,1,18.0,481.8999999999999
H3,experiment_1,10000095,pickaxe_nofood,1,1,20.0,1604.6999999999998
H3,experiment_1,10000096,pickaxe_nofood,1,1,2.0,-528.2
H3,experiment_1,10000097,pickaxe_nofood,1,1,4.0,-302.80000000000007
H3,experiment_1,10000098,pickaxe_nofood,1,1,3.0,-551.3
H3,experiment_1,10000099,pickaxe_nofood,1,1,5.0,222.89999999999984
H3,experiment_1,10000100,pickaxe_nofood,1,1,2.0,-636.0
H3,experiment_1,10000101,pickaxe_nofood,1,1,22.0,1200.1
H3,experiment_1,10000102,pickaxe_nofood,1,1,4.0,274.0
H3,experiment_1,10000103,pickaxe_nofood,1,1,24.0,1444.3999999999996
H3,experiment_1,10000104,pickaxe_nofood,1,1,4.0,-422.5
H3,experiment_1,10000105,pickaxe_nofood,1,1,6.0,-156.5
H3,experiment_1,10000106,pickaxe_nofood,1,1,2.0,-554.8
H3,experiment_1,10000107,pickaxe_nofood,1,1,3.0,-289.5
H3,experiment_1,10000108,pickaxe_nofood,1,1,17.0,64.70000000000005
H3,experiment_1,10000109,pickaxe_nofood,1,1,7.0,-516.3
H3,experiment_1,10000110,pickaxe_nofood,1,1,9.0,-59.90000000000009
H3,experiment_1,10000111,pickaxe_nofood,1,1,25.0,-360.20000000000005
H3,experiment_1,10000112,pickaxe_nofood,1,1,16.0,-323.1
H3,experiment_1,10000113,pickaxe_nofood,1,1,4.0,-286.0
H3,experiment_1,10000114,pickaxe_nofood,1,1,7.0,251.5999999999999
H3,experiment_1,10000115,pickaxe_nofood,1,1,29.0,1827.3
H3,experiment_1,10000116,pickaxe_nofood,1,1,4.0,-205.5
H3,experiment_1,10000117,pickaxe_nofood,1,1,6.0,895.5999999999999
H3,experiment_1,10000118,pickaxe_nofood,1,1,9.0,-129.20000000000005
H3,experiment_1,10000119,pickaxe_nofood,1,1,5.0,-616.4000000000001
H3,experiment_1,10000120,pickaxe_nofood,1,1,14.0,1791.6
H3,experiment_1,10000121,pickaxe_nofood,1,1,10.0,-182.4000000000001
H3,experiment_1,10000122,pickaxe_nofood,1,1,7.0,343.29999999999995
H3,experiment_1,10000123,pickaxe_nofood,1,1,13.0,325.79999999999995
H3,experiment_1,10000124,pickaxe_nofood,1,1,4.0,-268.5
H3,experiment_1,10000125,pickaxe_nofood,1,1,9.0,204.0
H3,experiment_1,10000126,pickaxe_nofood,1,1,19.0,1129.4
H3,experiment_1,10000127,pickaxe_nofood,1,1,7.0,392.3
H3,experiment_1,10000128,pickaxe_nofood,1,1,32.0,307.5999999999999
H3,experiment_1,10000129,pickaxe_nofood,1,1,26.0,2747.1
H3,experiment_1,10000130,pickaxe_nofood,1,1,12.0,987.9999999999998
H3,experiment_1,10000131,pickaxe_nofood,1,1,19.0,171.0999999999999
H3,experiment_1,10000132,pickaxe_nofood,1,1,5.0,-388.2000000000001
H3,experiment_1,10000133,pickaxe_nofood,1,1,10.0,-255.9000000000001
H3,experiment_1,10000134,pickaxe_nofood,1,1,3.0,-349.0
H3,experiment_1,10000135,pickaxe_nofood,1,1,12.0,1851.1
H3,experiment_1,10000136,pickaxe_nofood,1,1,8.0,307.5999999999999
H3,experiment_1,10000137,pickaxe_nofood,1,1,3.0,-329.4000000000001
H3,experiment_1,10000138,pickaxe_nofood,1,1,12.0,-616.4000000000001
H3,experiment_1,10000139,pickaxe_nofood,1,1,11.0,535.0999999999999
H3,experiment_1,10000140,pickaxe_nofood,1,1,5.0,67.5
H3,experiment_1,10000141,pickaxe_nofood,1,1,38.0,1533.2999999999995
H3,experiment_1,10000142,pickaxe_nofood,1,1,11.0,-330.80000000000007
H3,experiment_1,10000143,pickaxe_nofood,1,1,3.0,-379.1
H3,experiment_1,10000144,pickaxe_nofood,1,1,4.0,-253.80000000000007
H3,experiment_1,10000145,pickaxe_nofood,1,1,2.0,-629.7
H3,experiment_1,10000146,pickaxe_nofood,1,1,5.0,372.0
H3,experiment_1,10000147,pickaxe_nofood,1,1,3.0,312.5
H3,experiment_1,10000148,pickaxe_nofood,1,1,12.0,373.3999999999999
